# Each line represents a Chinese character entry with six fields, separated by spaces.
# Fields:
# 1. Character: the Chinese character itself
# 2. Pinyin: the pronunciation of the character (in cases of 多音字, the pronunciation used in the hint is given); capitalized if part of a proper noun (e.g., yī, Shàng).
# 3. Hint: a short phrase or idiom (up to 4 characters) that helps remember or illustrate the character; the character may appear multiple times in the hint
# 4. Frequency: usage frequency from the Jun Da modern Chinese database (numerical; lower = more common)
# 5. HSK level: based on HSK 3.0 standards: numbers 1 through 6 denote HSK1–HSK6; "+" denotes HSK7–9; "n" denotes a non-HSK character
# 6. Character structure: coded number corresponding to the character's structure as sourced from Make Me a Hanzi:
#    1: ⿱ (top-bottom)  
#    2: ⿳ (top-middle-bottom)  
#    3: ⿰ (left-right)  
#    4: ⿲ (left-middle-right)  
#    5: ⿴ (enclosure)  
#    6: ⿵ (bottom enclosure)  
#    7: ⿶ (left enclosure)  
#    8: ⿸ (upper-left enclosure)  
#    9: ⿷ (upper-right enclosure)  
#    10: ⿺ (bottom-left enclosure)  
#    11: ⿹ (bottom-right enclosure)  
#    12: none (simple or single-component character)  
#    13: ⿻ (overlapping components)


惊 jīng 大吃一惊 659 4 3
惋 wǎn 感到惋惜 3592 + 3
惑 huò 抵制诱惑 1600 + 1
惕 tì 保持警惕 2742 + 3
惘 wǎng 走出迷惘 3425 n 3
惚 hū 精神恍惚 3293 n 3
惜 xī 可惜的是 1512 5 3
惠 huì 优惠价格 1524 5 1
惦 diàn 惦记孩子 3752 + 3
惧 jù 一阵恐惧 1616 + 3
惨 cǎn 悲惨生活 1530 6 3
惩 chéng 受到惩罚 1821 + 1
惫 bèi 疲惫不堪 3007 + 1
惬 qiè 惬意的事 3976 n 3
惭 cán 我很惭愧 2943 + 3
惮 dàn 肆无忌惮 3601 n 3
惯 guàn 坏习惯 1226 2 3
惰 duò 懒惰的人 3310 + 3
想 xiǎng 思想家 99 1 1
惶 huáng 惶恐不安 2320 n 3
惹 rě 惹人喜爱 2272 + 1
惺 xīng 惺惺相惜 3357 n 3
愁 chóu 愁眉苦脸 2113 5 1
愈 yù 治愈疾病 1301 + 1
愉 yú 路途愉快 1982 6 3
意 yì 注意安全 104 2 1
愕 è 为之愕然 2766 n 3
愚 yú 愚公移山 1895 + 1
感 gǎn 表达感情 243 2 1
愣 lèng 愣了一下 2263 + 3
愤 fèn 控制愤怒 1508 6 3
忿 fèn variant 3145 n
愧 kuì 真不愧是 2275 + 3
愫 sù 浪漫情愫 3569 n 3
愿 yuàn 愿意帮忙 598 2 8
慈 cí 慈善机构 1487 + 1
慌 huāng 慌忙赶到 1650 5 3
慎 shèn 谨慎小心 1765 + 3
慑 shè 震慑住了 2970 + 3
慕 mù 我羡慕你 1990 + 1
慢 màn 慢慢来 822 1 3
慧 huì 专家智慧 1505 6 1
慨 kǎi 感慨万分 2208 + 3
慰 wèi 他安慰我 1632 5 1
慷 kāng 慷慨大方 2935 + 3
憋 biē 憋在心里 3141 + 1
憎 zēng 憎恨谣言 2617 n 3
憔 qiáo 苍白憔悴 3508 n 3
憧 chōng 憧憬未来 3626 n 3
憨 hān 憨厚老实 3722 n 1
憬 jǐng 憧憬未来 3693 n 3
憾 hàn 我很遗憾 2269 6 3
懂 dǒng 他不懂事 1211 2 3
懈 xiè 无懈可击 2689 + 3
懊 ào 令人懊恼 3212 n 3
懒 lǎn 一只树懒 2230 6 3
懦 nuò 懦弱无能 3174 n 3
懵 měng 懵懂无知 3823 n 3
懿 yì 司马懿 2932 n 3
戈 Gē 戈壁沙漠 1695 + 12
戊 wù 戊己庚辛 3689 n 3
戌 xū 申酉戌亥 3921 n 6
戍 shù 戍边守防 3767 n 6
戎 róng 全身戎装 3205 n 11
戏 xì 玩游戏 1033 3 3
成 chéng 成千上万 59 2 3
我 wǒ 自我介绍 9 1 3
戒 jiè 钻石戒指 1566 5 11
或 huò 或大或小 160 2 11
战 zhàn 世界大战 145 4 3
戚 qī 亲戚朋友 2316 + 6
戛 jiá 戛然而止 4503 n 2
戟 jǐ 一队戟兵 3726 n 3
截 jié 截止日期 1552 6 13
戮 lù 戮力同心 3318 n 3
戳 chuō 戳了肋骨 2944 + 3
戴 dài 戴帽子 1228 4 13
户 hù 挨家挨户 801 4 1
房 fáng 房屋建筑 512 1 8
所 suǒ 不知所措 54 2 3
扁 biǎn 打扁你！ 1737 6 8
扇 shàn 旋转电扇 1993 5 8
扉 fēi 敞开心扉 4034 n 8
手 shǒu 手机号码 143 1 12
才 cái 大才小用 235 2 13
扎 zhá 拼命挣扎 1411 6 3
扑 pū 扑灭大火 1509 6 3
扒 pá 扒手偷窃 3121 + 3
打 dǎ 打开电脑 223 1 3
扔 rēng 扔掉垃圾 1905 5 3
托 tuō 托运行李 799 5 3
扛 káng 手提肩扛 2989 + 3
扣 kòu 打折扣 1625 6 3
执 zhí 执行法律 763 5 3
扩 kuò 扩大范围 1051 4 3
扪 mén 扪心自问 4416 n 3
扫 sǎo 扫二维码 1435 4 3
扬 yáng 扬起灰尘 1084 4 3
扭 niǔ 扭转局面 1805 6 3
扮 bàn 扮演角色 1974 5 3
扯 chě 牵扯进来 2084 + 3
扰 rǎo 打扰你了 1483 5 3
扳 bān 一把扳手 3169 + 3
扶 fú 自动扶梯 1612 5 3
批 pī 挨批评 569 3 3
扼 è 扼杀经济 2931 n 3
找 zhǎo 寻找宝藏 466 1 3
承 chéng 承担得起 639 4 13
技 jì 高技术 422 3 3
抄 chāo 指控抄袭 2213 4 3
抉 jué 作出抉择 3575 n 3
把 bǎ 把握机会 110 3 3
抑 yì 抑制疼痛 1748 + 3
抒 shū 各抒己见 3071 + 3
抓 zhuā 抓住小偷 992 3 3
投 tóu 投票给谁 516 4 3
抖 dǒu 浑身颤抖 1757 + 3
抗 kàng 抵抗霸道 766 6 3
折 zhé 折断骨头 1131 4 3
抚 fǔ 抚摸着她 1720 + 3
抛 pāo 抛弃宠物 1692 + 3
抠 kōu 抠鼻子 4103 + 3
抡 lūn 抡着拳头 3869 + 3
抢 qiǎng 抢救病人 1412 5 3
护 hù 保护环境 529 2 3
报 bào 新闻报道 234 2 3
抨 pēng 猛烈抨击 3397 + 3
披 pī 信息披露 2032 5 3
抬 tái 抬头看 1386 5 3
抱 bào 拥抱妻子 1122 4 3
抵 dǐ 抵达机场 1119 6 3
抹 mǒ 涂抹黄油 2087 + 3
押 yā 退还押金 1775 5 3
抽 chōu 抽象艺术 1178 4 3
抿 mǐn 抿一口酒 3729 n 3
拂 fú 微风吹拂 2623 n 3
拄 zhǔ 拄着拐杖 4240 + 3
担 dān 担任老师 720 4 3
拆 chāi 过河拆桥 2076 5 3
拇 mǔ 大拇指 3031 n 3
拈 niān 拈起花来 3616 n 3
拉 lā 兰州拉面 324 2 3
拌 bàn 搅拌水泥 3570 + 3
拍 pāi 拍了拍手 1167 3 3
拎 līn 拎着袋子 3380 + 3
拐 guǎi 拄着拐杖 2232 6 3
拒 jù 拒绝邀请 1331 5 3
拓 tuò 开拓领域 2238 + 3
拔 bá 牙医拔牙 1502 5 3
拖 tuō 拖拉机 1492 6 3
拗 ào 说话拗口 3629 n 3
拘 jū 拘留审问 2098 + 3
拙 zhuō 手脚笨拙 2709 + 3
招 zhāo 打招呼 941 4 3
拜 bài 拜托了！ 1218 5 3
拟 nǐ 模拟考试 1541 + 3
拢 lǒng 向她靠拢 2374 + 3
拥 yōng 拥有武器 1059 5 3
拦 lán 别阻拦他 1996 + 3
拧 níng 拧开瓶盖 3178 + 3
拨 bō 拨打电话 1807 6 3
择 zé 没有选择 961 4 3
括 kuò 包括在内 850 4 3
拭 shì 擦拭家具 3337 n 3
拮 jié 手头拮据 4536 n 3
拯 zhěng 拯救生命 2754 + 3
拱 gǒng 拱手相让 2573 + 3
拳 quán 握紧拳头 1784 + 1
拴 shuān 把狗拴住 3170 + 3
拷 kǎo 拷贝粘贴 3230 n 3
拼 pīn 拼命逃跑 1820 5 3
拚 pàn variant 2983 n
拽 zhuài 拽着耳朵 3248 + 3
拾 shí 收拾房间 1961 5 3
拿 ná 拿着钥匙 645 1 1
持 chí 享有支持 357 3 3
挂 guà 挂上灯笼 1232 3 3
指 zhǐ 指出问题 261 3 3
按 àn 按了按钮 573 3 3
挎 kuà 挎着篮子 4005 + 3
挑 tiāo 百里挑一 1309 4 3
挖 wā 挖个坑 1860 6 3
挚 zhì 真挚的爱 3012 + 1
挛 luán 肌肉痉挛 3350 n 1
挝 wō 去过老挝 3710 n 3
挞 tà 鞭挞船员 4510 n 3
挟 xié 挟持人质 2816 + 3
挠 náo 阻挠司法 2794 + 3
挡 dǎng 遮挡视线 1933 5 3
挣 zhèng 工作挣钱 1875 5 3
挤 jǐ 人们拥挤 1661 5 3
挥 huī 发挥潜力 742 4 3
挨 ái 挨一顿打 2012 6 3
挪 nuó 挪挪椅子 2204 + 3
挫 cuò 挫折感 2426 + 3
振 zhèn 振兴经济 1140 5 3
挺 tǐng 鼻子挺直 1467 2 3
挽 wǎn 挽救孩子 2222 + 3
捂 wǔ 捂住耳朵 3092 + 3
捅 tǒng 捅了一刀 3361 + 3
捆 kǔn 捆绑起来 2640 + 3
捉 zhuō 捕捉猎物 1822 6 3
捋 lǚ 捋着胡子 4049 n 3
捌 bā 柒捌玖拾 5580 n 3
捍 hàn 捍卫祖国 3255 + 3
捎 shāo 请捎封信 3603 + 3
捏 niē 捏着鼻子 2472 + 3
捐 juān 大笔捐款 2235 6 3
捕 bǔ 罪犯被捕 1312 6 3
捞 lāo 海底捞针 2508 + 3
损 sǔn 赔偿损失 911 5 3
捡 jiǎn 捡起贝壳 2753 6 3
拣 jiǎn 分拣邮件 2965 + 3
换 huàn 换句话说 824 2 3
捣 dǎo 你别捣乱 2723 + 3
捧 pěng 自我吹捧 2353 + 3
据 jù 根据报道 313 3 3
捶 chuí 用拳头捶 3478 + 3
捷 jié 灵敏快捷 1789 + 3
捺 nà 按捺情绪 3841 n 3
捻 niǎn 捻动铅笔 3471 n 3
掀 xiān 掀起热潮 2468 + 3
掂 diān 掂量包裹 4020 n 3
授 shòu 副教授 968 4 3
掉 diào 全部吃掉 849 2 3
掌 zhǎng 仙人掌 890 5 1
掏 tāo 掏出钥匙 2218 6 3
掐 qiā 掐住脖子 3494 + 3
排 pái 安排日程 682 2 3
掖 yē 掖好被子 3863 n 3
掘 jué 挖掘矿物 2212 + 3
掠 lüè 掠夺财富 1868 + 3
探 tàn 探索宇宙 917 6 3
掣 chè 风驰电掣 3596 n 1
接 jiē 接受现实 247 2 3
控 kòng 自我控制 780 5 3
推 tuī 推还是拉 505 2 3
掩 yǎn 掩饰真相 1514 + 3
措 cuò 安全措施 1148 4 3
掰 bāi 掰开面包 4253 + 4
掳 lǔ 掳掠一空 3468 n 3
掷 zhì 掷骰子 2614 n 3
掸 dǎn 鸡毛掸子 4402 n 3
揉 róu 别揉眼睛 2818 + 3
揍 zòu 揍你的脸 3540 + 3
描 miáo 描述感情 1246 4 3
提 tí 提交作业 196 2 3
插 chā 插入门锁 1495 5 3
揖 yī 打躬作揖 3505 n 3
握 wò 掌握技巧 1032 3 3
揣 chuǎi 凭空揣测 3034 + 3
揩 kāi 揩拭桌子 3671 n 3
揪 jiū 揪住手臂 3065 + 3
揭 jiē 揭露真相 1666 6 3
援 yuán 人道援助 1197 6 3
揽 lǎn 一手包揽 2807 + 3
搀 chān 搀扶老人 3384 + 3
掺 chān variant 3308 +
搁 gē 暂时搁置 2380 + 3
搂 lǒu 搂在怀里 2795 + 3
搅 jiǎo 搅一搅汤 2679 + 3
搏 bó 努力拼搏 2372 + 3
搐 chù 肌肉抽搐 3680 n 3
搓 cuō 搓手取暖 3098 + 3
搔 sāo 搔到痒处 3454 n 3
搜 sōu 搜索引擎 1564 5 3
搞 gǎo 怎么搞的 1146 5 3
搪 táng 搪塞敷衍 4057 n 3
搬 bān 搬起石头 1766 3 3
搭 dā 搭配恰当 1842 6 3
携 xié 便于携带 1964 + 3
摁 èn 摁电铃 4705 n 3
摄 shè 摄影师 1403 5 3
摆 bǎi 摆脱困境 1158 4 3
摇 yáo 摇头否定 940 4 3
摊 tān 路边摊 2154 + 3
摒 bìng 摒弃杂念 3791 n 3
摔 shuāi 摔倒在地 2270 5 3
摘 zhāi 采摘花朵 2026 5 3
摞 luò 堆成一摞 4299 n 3
摧 cuī 彻底摧毁 2166 + 3
摩 mó 摩托车 1162 5 8
摸 mō 盲人摸象 1367 4 3
摹 mó 临摹作品 3008 n 1
撂 liào 撂下句话 3807 n 3
撅 juē 撅起嘴唇 4115 n 3
撇 piě 撇了撇嘴 2882 + 3
撑 chēng 支撑屋顶 2183 6 3
撒 sā 你撒谎！ 1445 + 3
撕 sī 手撕猪肉 2334 + 3
撞 zhuàng 汽车碰撞 1540 5 3
撤 chè 撤销申请 1270 6 4
撩 liāo 撩裙子 3514 n 3
撬 qiào 把锁撬开 3613 + 3
播 bō 播放音乐 1275 3 3
撮 cuō 一小撮人 3485 n 3
撰 zhuàn 撰写论文 2300 + 3
撵 niǎn 把我撵走 3793 n 3
撸 lū 撸起袖子 3937 n 3
撼 hàn 震撼世界 2987 + 3
擂 léi 自吹自擂 3685 n 3
擅 shàn 擅长数学 2377 + 3
操 cāo 操作系统 1173 4 3
擎 qíng 搜索引擎 3052 + 1
擒 qín 擒获罪犯 2850 n 3
擞 sǒu 精神抖擞 3870 n 3
擢 zhuó 擢发难数 4477 n 3
擦 cā 擦肩而过 1761 4 3
攀 pān 禁止攀爬 2439 + 1
攒 zǎn 攒钱退休 3548 + 3
攘 rǎng 熙熙攘攘 3404 + 3
攥 zuàn 攥拳头 3827 n 3
支 zhī 一支队伍 437 3 1
收 shōu 收受贿赂 351 2 3
攸 yōu 生死攸关 3416 n 4
改 gǎi 难以改变 350 2 3
攻 gōng 攻击敌人 588 6 3
放 fàng 从不放弃 291 1 3
政 zhèng 政府部门 150 4 3
故 gù 讲故事 572 2 3
效 xiào 合同无效 551 3 3
敌 dí 敌人入侵 523 4 3
敏 mǐn 敏感话题 1436 5 3
救 jiù 救他的命 872 3 3
敖 Áo 敖德萨 3573 n 3
教 jiào 义务教育 191 1 3
敛 liǎn 安静内敛 2925 + 3
敝 bì 民生凋敝 3259 n 3
敞 chǎng 敞开的门 2592 + 3
敢 gǎn 我不敢当 795 3 3
散 sàn 散散步 866 3 3
敦 dūn 英国伦敦 1722 + 3
敬 jìng 尊敬长辈 1209 5 3
数 shù 大多数人 231 2 3
敲 qiāo 砰砰敲门 1732 5 3
整 zhěng 调整价格 416 3 1
敷 fū 敷衍了事 2788 + 3
文 wén 学习中文 148 1 1
斋 zhāi 斋月禁食 2404 n 1
斐 fěi 成就斐然 2972 n 1
斑 bān 黑白斑马 2053 + 4
斓 lán 五色斑斓 3994 n 3
斗 dòu 斗争到底 580 4 13
料 liào 意料之中 557 4 3
斜 xié 向左倾斜 1786 5 3
斟 zhēn 仔细斟酌 3167 n 3
斡 wò 从中斡旋 4117 n 8
斤 jīn 半斤八两 1866 2 8
斥 chì 排斥在外 1857 + 8
斧 fǔ 用斧头砍 2771 + 1
斩 zhǎn 斩钉截铁 2463 + 3
断 duàn 断断续续 434 3 3
斯 sī 俄罗斯 168 + 3
新 xīn 新鲜水果 161 1 3
方 fāng 另一方面 60 1 1
施 shī 实施计划 553 4 3
旁 páng 在我旁边 981 1 1
旅 lǚ 旅行社 950 2 3
旋 xuán 旋转木马 1383 6 3
族 zú 少数民族 549 3 3
旗 qí 红旗飘扬 1407 6 3
无 wú 无论如何 105 4 1
毋 wú 毋庸置疑 2876 n 12
既 jì 一如既往 724 4 3
日 rì 日新月异 101 1 5
旦 dàn 元旦快乐 1300 5 1
旧 jiù 依旧不变 915 3 3
旨 zhǐ 公司宗旨 1685 + 1
早 zǎo 趁早动手 462 1 1
旬 xún 三月中旬 2332 + 11
旭 xù 旭日东升 2846 + 10
旱 hàn 干旱沙地 2523 + 1
时 shí 没有时间 25 1 3
旷 kuàng 旷课逃学 2735 + 3
旺 wàng 精力旺盛 2198 6 3
昂 áng 价格昂贵 1952 + 1
昆 kūn 昆虫种类 1759 + 1
昊 Hào 棋手常昊 3956 n 1
昌 chāng 繁荣昌盛 1606 6 1
明 míng 明天见 121 1 3
昏 hūn 昏迷状态 1561 6 1
易 yì 好不容易 461 3 1
昔 xī 昔日时光 2388 + 1
昙 tán 昙花一现 4272 n 1
星 xīng 星球大战 537 1 1
映 yìng 电影上映 1316 4 3
春 chūn 春夏秋冬 921 2 1
昧 mèi 关系暧昧 2376 + 3
昨 zuó 昨天晚上 1475 1 3
昭 zhāo 昭昭在目 2190 n 3
是 shì 我是老师 3 1 1
昵 nì 起个昵称 4089 n 3
昼 zhòu 不分昼夜 2651 + 6
显 xiǎn 显而易见 469 3 1
晃 huàng 桌子摇晃 1796 + 1
晋 jìn 晋升机会 1645 + 1
晌 shǎng 想了半晌 2822 n 3
晒 shài 晒太阳 2630 4 3
晓 xiǎo 我不晓得 1357 6 3
晕 yūn 头晕目眩 2215 6 1
晚 wǎn 住了一晚 641 1 3
晤 wù 举行会晤 2719 + 3
晦 huì 我真晦气 3075 n 3
晨 chén 凌晨两点 1388 2 1
普 pǔ 普通话 630 2 1
景 jǐng 背景音乐 814 3 1
晰 xī 清晰可见 2220 + 3
晴 qíng 天气晴朗 1968 2 3
晶 jīng 糖会结晶 1725 + 1
智 zhì 人工智能 885 4 1
晾 liàng 晾干衣服 3909 n 3
暂 zàn 暂时封闭 1325 5 1
暄 xuān 寒暄几句 3886 n 3
暇 xiá 闲暇时间 2761 n 3
暑 shǔ 我中暑了 2743 4 1
暖 nuǎn 温暖阳光 1745 3 3
暗 àn 黑暗之中 829 4 3
暧 ài 暧昧关系 3802 n 3
暨 jì 自古暨今 3572 n 1
暮 mù 暮光之城 2768 + 1
暴 bào 暴力行为 1028 6 1
曙 shǔ 黎明曙光 3385 + 3
曝 bào 曝光时间 3431 + 3
曰 yuē 子曰： 1656 + 5
曲 qǔ 爱情歌曲 1066 5 13
曳 yè 轻轻摇曳 3364 n 13
更 gēng 自力更生 221 2 1
曹 Cáo 魏王曹操 1570 + 1
曼 Màn 泰国曼谷 1224 n 1
曾 céng 曾经认为 463 3 2
替 tì 代替老师 1079 4 1
最 zuì 最佳时期 139 1 1
月 yuè 三月五号 169 1 6
有 yǒu 有没有人 8 1 8
朋 péng 好朋友 882 1 3
服 fú 服务员 365 1 3
朔 shuò 正月朔日 3111 n 3
朕 zhèn 朕是皇帝 3054 n 3
朗 lǎng 开朗外向 1276 5 3
望 wàng 展望未来 326 3 1
朝 cháo 中国朝代 593 3 3
期 qī 三国时期 253 1 3
朦 méng 朦胧街灯 2826 + 3
木 mù 一块木板 694 3 13
未 wèi 展望未来 385 4 13
末 mò 周末愉快 1164 2 13
本 běn 一本书 92 1 13
札 zhá 读书札记 3211 n 3
术 shù 艺术家 328 3 10
朱 zhū 朱红色 1120 + 13
朴 pǔ 衣着朴素 2092 + 3
朵 duǒ 竖起耳朵 1571 5 1
机 jī 手机号码 111 1 3
朽 xiǔ 朽木难雕 2544 + 3
杀 shā 杀菌消毒 587 5 1
杂 zá 复杂问题 853 3 1
权 quán 持有版权 297 4 3
杆 gān 一根旗杆 2011 6 3
杈 chā 剪枝打杈 4529 n 3
杉 shān 洛杉矶 2718 n 3
李 lǐ 行李箱 472 3 1
杏 xìng 杏子酱 2790 n 1
材 cái 学习材料 952 3 3
村 cūn 农村生活 712 3 3
杖 zhàng 拄着拐杖 2435 + 3
杜 dù 杜绝浪费 1277 + 3
杞 qǐ 枸杞浆果 3833 n 3
束 shù 到此结束 998 3 13
杠 gàng 用杠杆抬 3066 + 3
条 tiáo 两条腿 214 1 1
来 lái 走来走去 15 1 13
杨 Yáng 杨贵妃 1062 + 3
杭 Háng 杭州西湖 2346 + 3
杯 bēi 倒一杯水 1396 1 3
杰 jié 杰出作品 1129 6 1
松 sōng 轻松气氛 895 4 3
板 bǎn 瓷砖地板 930 2 3
极 jí 北极熊 363 3 3
构 gòu 慈善机构 511 4 3
枉 wǎng 枉费一生 2918 + 3
析 xī 分析数据 1073 5 3
枕 zhěn 枕着枕头 2605 + 3
林 lín 森林火灾 364 4 3
枚 méi 一枚硬币 1884 + 3
果 guǒ 火龙果 165 1 1
枝 zhī 修剪树枝 1491 6 3
枢 shū 网络中枢 2616 + 3
枣 zǎo 囫囵吞枣 2851 + 1
枪 qiāng 手枪子弹 874 5 3
枫 fēng 枫糖煎饼 3229 n 3
枭 xiāo 沙漠枭雄 3885 n 1
枯 kū 枯燥无味 2188 + 3
枳 zhǐ 枳实药材 5304 n 3
架 jià 一架飞机 846 3 1
枷 jiā 挣脱枷锁 3663 n 3
枸 gǒu 枸杞浆果 4578 n 3
柄 bǐng 手握剑柄 2241 + 3
柏 Bǎi 德国柏林 1596 + 3
某 mǒu 陈某某 517 3 1
柑 gān 柑橘果皮 4276 n 3
柒 qī 李子柒 6786 n 1
染 rǎn 感染了我 1141 5 1
柔 róu 温柔地吻 1573 + 1
柚 yòu 柚子汁 4553 n 3
柜 guì 床头柜 1994 5 3
柠 níng 柠檬很酸 4252 n 3
查 chá 安全检查 459 2 1
柬 jiǎn 婚礼请柬 3047 + 13
柯 Kē 柯达公司 1903 n 3
柱 zhù 经济支柱 1691 6 3
柳 liǔ 杨柳依依 1557 + 3
柴 chái 燃烧木柴 1981 5 1
柿 shì 西红柿 3355 5 3
栅 zhà 跃过栅栏 2995 n 3
标 biāo 标点符号 473 3 3
栈 zhàn 路边客栈 3192 n 3
栋 dòng 一栋楼 2710 + 3
栏 lán 杂志栏目 2101 6 3
树 shù 一棵树 697 1 3
栓 shuān 消火栓 2938 + 3
栖 qī 栖息地 2460 + 3
栗 lì 糖炒栗子 2595 n 1
校 xiào 高等学校 633 1 3
株 zhū 一株植物 2482 + 3
样 yàng 一模一样 88 1 3
核 hé 核武器 828 5 3
根 gēn 根深蒂固 352 3 3
格 gé 性格开朗 325 3 3
栽 zāi 栽培植物 2401 + 11
桂 Guì 桂林山水 1930 + 3
桃 táo 樱桃梗 1839 5 3
桅 wéi 船的桅杆 3558 n 3
框 kuāng 框架结构 2144 + 3
案 àn 诉讼案件 518 4 1
桌 zhuō 书桌抽屉 1193 1 1
桐 tóng 梧桐树 2712 n 3
桑 sāng 饱经沧桑 1528 + 1
桓 huán 盘桓不前 2541 n 3
档 dàng 病历档案 1787 6 3
桥 qiáo 过河拆桥 1292 3 3
桦 huà 白桦树 3856 n 3
桨 jiǎng 用桨划船 2939 + 1
桩 zhuāng 拔除树桩 2491 + 3
桶 tǒng 垃圾桶里 2411 + 3
梁 liáng 桥梁跨度 1416 6 1
梅 méi 酸梅汤 1159 6 3
梆 bāng 梆子乐器 4062 n 3
梗 gěng 心肌梗塞 2919 n 3
梢 shāo 在树梢上 2785 + 3
梦 mèng 梦想成真 865 4 1
梧 wú 梧桐树 3356 n 3
梨 lí 香甜梨子 3004 5 1
梭 suō 穿梭巴士 2681 n 3
梯 tī 电梯上下 1672 4 3
械 xiè 机械工程 1657 6 3
梳 shū 梳理头发 2717 + 3
梵 Fàn 古老梵文 3276 n 1
检 jiǎn 安全检查 731 2 3
棉 mián 新疆棉花 1967 6 3
棋 qí 国际象棋 2089 + 3
棍 gùn 冰棍儿 2255 + 3
棒 bàng 巧克力棒 2288 5 3
棕 zōng 棕榈树 2774 n 3
棘 jí 棘手问题 2870 + 3
棚 péng 葡萄棚架 2448 + 3
棠 táng 海棠花 2489 n 1
森 sēn 森林火灾 1029 4 1
棱 léng 棱柱体 2897 + 3
棵 kē 一棵树 2108 4 3
棺 guān 盖上棺材 2686 + 3
椅 yǐ 一桌二椅 1663 2 3
椋 liáng 一群椋鸟 4031 n 3
植 zhí 种植作物 1124 4 3
椎 zhuī 脊椎骨 2455 n 3
椒 jiāo 辣椒酱 3187 + 3
椭 tuǒ 椭圆形 3312 n 3
椰 yē 一颗椰子 3932 + 3
椿 chūn 香椿叶 4197 n 3
楂 zhā 山楂树 4764 n 3
楔 xiē 楔尾鹰 3846 n 3
楚 chǔ 一清二楚 859 2 1
楞 léng 瓦楞铁板 3223 n 3
楠 nán 楠木家具 3700 n 3
楣 méi 门楣装饰 4048 n 3
楷 kǎi 楷体字 3530 + 3
楼 lóu 高楼大厦 876 1 3
概 gài 抽象概念 791 3 3
榄 lǎn 橄榄油 3607 n 3
榆 yú 榆木木纹 3272 n 3
榈 lǘ 棕榈树 3971 n 3
榔 láng 用榔头锤 4337 n 3
榕 róng 榕树垂下 4127 n 3
榛 zhēn 榛果拿铁 4595 n 3
榜 bǎng 坏榜样 2556 6 3
榨 zhà 鲜榨果汁 3657 + 3
榴 liú 石榴籽 2644 n 3
榷 què 值得商榷 4380 n 3
榻 tà 下榻酒店 3033 n 3
槌 chuí 手握棒槌 4105 n 3
槐 huái 北国槐树 3120 + 3
槛 kǎn 迈过门槛 3379 + 3
槟 bīn 香槟酒 4036 n 3
槽 cáo 水槽漏水 2993 + 3
樊 Fán 樊梅生 3282 n 1
樟 zhāng 香樟树 4063 n 3
模 mó 飞行模式 689 4 3
横 héng 纵横交错 1330 6 3
樱 yīng 红樱桃 2781 n 3
樵 qiáo 樵夫砍柴 3386 n 3
橄 gǎn 橄榄枝 3493 n 3
橇 qiāo 狗拉雪橇 4006 n 3
橘 jú 柑橘果 3614 + 3
桔 jú variant 3304 n
橙 chéng 新鲜橙汁 3571 + 3
橡 xiàng 橡胶轮胎 2871 + 3
橱 chú 在橱柜里 3041 + 3
檀 Tán 檀香山 3421 n 3
檐 yán 屋檐滴水 3102 n 3
檩 lǐn 檩条支撑 5662 n 3
檬 méng 柠檬酸 3939 n 3
欠 qiàn 欠债还钱 1948 5 1
次 cì 这次活动 183 1 3
欢 huān 我喜欢你 685 1 3
欣 xīn 欣欣向荣 1523 5 3
欧 Ōu 欧洲国家 823 + 3
欲 yù 欲言又止 1045 6 3
欸 éi 欸，等等 7000 n 3
欺 qī 欺负弱小 1699 6 3
款 kuǎn 贷款利息 807 5 3
歇 xiē 歇脚休息 1828 5 3
歉 qiàn 向他道歉 2149 6 3
歌 gē 一首歌曲 1040 1 3
止 zhǐ 禁止吸烟 596 3 13
正 zhèng 恢复正常 129 1 1
此 cǐ 由此可见 116 3 3
步 bù 进一步 349 3 1
武 wǔ 挥舞武器 501 3 8
歧 qí 意见分歧 2071 + 3
歪 wāi 歪曲事实 2239 + 1
歹 dǎi 持枪歹徒 2905 + 1
死 sǐ 死于癌症 317 3 8
歼 jiān 歼灭敌人 1815 + 3
殃 yāng 连连遭殃 3562 + 3
殆 dài 百战不殆 3142 n 3
殉 xùn 以身殉国 3303 n 3
殊 shū 特殊情况 1191 4 3
残 cán 残疾人 1150 6 3
殖 zhí 殖民地 1438 6 3
殡 bìn 殡葬习俗 3965 n 3
殴 ōu 遭到殴打 3354 + 3
段 duàn 第一阶段 567 2 3
殷 yīn 殷勤招待 2365 + 3
殿 diàn 古老宫殿 1555 + 3
毁 huǐ 濒临毁灭 1160 6 3
毅 yì 毅然决定 1946 + 3
母 mǔ 父亲母亲 565 3 12
每 měi 每天都吃 359 3 1
毒 dú 病毒软件 947 5 1
比 bǐ 参加比赛 199 1 3
毕 bì 大学毕业 1093 4 1
毗 pí 毗邻地区 3441 n 3
毙 bì 他被击毙 2534 + 1
毛 máo 羽毛球 623 1 13
毡 zhān 毛毡地毯 3451 n 10
毫 háo 毫无疑问 879 4 1
毯 tǎn 铺设地毯 2711 + 10
氏 shì 摄氏度 1500 + 12
民 mín 人民币 113 3 13
氓 máng 足球流氓 3060 + 3
气 qì 天气预报 217 1 1
氖 nǎi 氖气管 3602 n 11
氛 fēn 工作氛围 2009 6 11
氟 fú 氟化牙膏 3701 n 11
氢 qīng 引爆氢弹 2637 n 11
